Filename,Application,CPU_Num,Cacheline_Size_Bytes,Cachesize_kB,Network_Topology,Network_Flit_Size,Network_Hop_Latency,SimSeconds,Total_Insts,AvgIPC,LoadBalance,Contention_Intensity,Write_Contention_Count,Coh_Locked_RMW,CPU_Stall_Severity,NoC_Control_Lat,NoC_Data_Lat,Coh_FwdGetM (Write Contention),Coh_FwdGetS (Read Sharing),Coh_Invalidations,Coh_Writebacks (PutAck),DRAM_Read_BW,Max_Controller_BusyCycles,Max_MandatoryQueue_Stall,NoC_Avg_Hops,NoC_Flits_Injected
stats-Transpose_GeMM-4-64-16-mesh-16-8.txt,Transpose_GeMM,4,64,16,mesh,16,8,0.006735,12816437.0,0.53671175,1.114968603268849,0.0045254387003189735,26,448,25465.282451,24114.751409,0,26,48,32,265783,2534513939.0,4217572,25465.282451,1.502628,2142735.0
stats-bad_cache-2-64-16-mesh-16-1.txt,bad_cache,2,64,16,mesh,16,1,0.002151,1495126.0,0.352787,1.015005933017063,103.72303070109142,133597,172,125.794294,6177.037206,0,133597,23305,21482,1103,684177939.0,20941,125.794294,1.250258,881729.0
stats-Transpose_GeMM-2-64-16-all2all-16-1.txt,Transpose_GeMM,2,64,16,all2all,16,1,0.00625,12807496.0,1.02867,1.0039620154121034,0.004138201565708082,46,172,6206.301535,5232.587101,0,46,10,7,265553,2723559815.0,2168549,6206.301535,1.0,2137031.0
stats-bad_cache-4-64-64-mesh-16-1.txt,bad_cache,4,64,64,mesh,16,1,0.002014,1509204.0,0.1925915,1.0270725385461832,12131.378528018744,18090863,444,136.691786,6096.763682,0,18090863,66811,217862,347,1399791433.0,241823,136.691786,1.611812,1768048.0
stats-FFT-1-64-16-mesh-16-1.txt,FFT,1,64,16,mesh,16,1,0.004551,4559112.0,1.001731,1.0,0.0,0,8,1055.510151,11885.895328,0,0,0,0,0,417940185.0,564481,1055.510151,1.0,269922.0
stats-Matrix_symm-2-64-16-mesh-16-1.txt,Matrix_symm,2,64,16,mesh,16,1,0.035362,4748491.0,0.0671705,1.0002079692951202,3924.008700869392,18633116,180,29014.172159,11567.239326,0,18633116,13,4,922707,1670447016.0,19394861,29014.172159,1.437755,10532951.0
stats-Transpose_GeMM-4-64-4-mesh-16-1.txt,Transpose_GeMM,4,64,4,mesh,16,1,0.003605,12816437.0,0.93652525,1.0518830505176227,0.020052374930723725,20,448,7973.181318,6356.409526,0,20,15,237,270684,4813855945.0,1398980,7973.181318,1.501499,2181507.0
stats-bad_cache-4-64-16-all2all-16-1.txt,bad_cache,4,64,16,all2all,16,1,0.001829,1510340.0,0.2111585,1.0048572145566845,10530.603043023426,15825065,476,286.589069,5107.262356,0,15825065,136613,79726,1579,1599298308.0,266157,286.589069,1.0,1768518.0
stats-Matrix_symm-4-128-16-mesh-16-1.txt,Matrix_symm,4,128,16,mesh,16,1,0.02903,4755955.0,0.04304175,1.0477763051685873,1228.5953084080904,5843117,428,38387.326796,21516.995664,0,5843117,39,27,1085114,4785482539.0,11175697,38387.326796,1.518891,17592931.0
stats-bad_cache-2-64-16-all2all-16-1.txt,bad_cache,2,64,16,all2all,16,1,0.003065,1495222.0,0.245245,1.0013047714944088,219.9573039990048,315616,180,121.43829,5087.382497,0,315616,13876,13269,1101,308355503.0,17337,121.43829,1.0,1493541.0
stats-FFT-4-64-16-mesh-16-2.txt,FFT,4,64,16,mesh,16,2,0.001671,4683212.0,0.86672875,1.2078979210611351,0.13623128741556007,468,748,2017.310095,16631.355368,0,468,162,170,18083,1125799451.0,363763,2017.310095,1.626203,265168.0
stats-bad_cache-1-64-16-all2all-16-1.txt,bad_cache,1,64,16,all2all,16,1,0.005942,1484001.0,0.249758,1.0,0.0,0,0,5.192337,9671.280277,0,0,0,0,0,2348124.0,3398,5.192337,1.0,1803.0
stats-bad_cache-4-64-16-mesh-16-4.txt,bad_cache,4,64,16,mesh,16,4,0.003163,1509204.0,0.12157124999999999,1.0130310576036574,31179.625815993066,46804082,444,650.986618,13659.73941,0,46804082,153867,252334,1492,1011920171.0,426249,650.986618,1.594222,1711340.0
stats-bad_cache-1-64-16-mesh-16-1.txt,bad_cache,1,64,16,mesh,16,1,0.005942,1484001.0,0.249758,1.0,0.0,0,0,5.192337,9671.280277,0,0,0,0,0,2348124.0,3398,5.192337,1.0,1803.0
stats-Matrix_symm-4-256-16-mesh-16-1.txt,Matrix_symm,4,256,16,mesh,16,1,0.038532,4758300.0,0.03272675,1.0566436857156323,3459.408612319526,16460879,448,57539.765369,40862.616329,0,16460879,33,25,1027219,6822050511.0,16546178,57539.765369,1.525924,29401734.0
stats-Matrix_symm-4-64-16-all2all-16-1.txt,Matrix_symm,4,64,16,all2all,16,1,0.026432,4758300.0,0.054213750000000005,1.1906672356343888,4060.3288989765256,19320231,448,43725.995512,10405.140054,0,19320231,48,32,965353,2311239185.0,12872079,43725.995512,1.0,10762535.0
stats-FFT-2-64-16-all2all-16-1.txt,FFT,2,64,16,all2all,16,1,0.002552,4591490.0,0.9675465000000001,1.0590146665671445,0.008493974722802403,16,352,1196.857987,11725.616663,0,16,28,23,18625,779491583.0,364898,1196.857987,1.0,281332.0
